# Pathway	COAD_noFFPEOnlyPrimaryNoRiboZeroG_CMS234_86random_35_Abundance
UNMAPPED	6455605.4156484380
UNINTEGRATED	1009341.3006416422
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	610620.9537728501
UNINTEGRATED|unclassified	236073.7197079169
UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes	17659.2691537742
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1241.1171997617
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	1028.8137496135
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	199.8187089754
PWY-7111: pyruvate fermentation to isobutanol (engineered)	751.8227212781
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	694.9789292934
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	97.4175125725
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	654.4900836297
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	592.8344834279
VALSYN-PWY: L-valine biosynthesis	654.4900836297
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	592.8344834279
VALSYN-PWY: L-valine biosynthesis|unclassified	97.6977551392
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	619.0966428742
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_coli	558.2659290123
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	52.4734189739
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	577.3343807089
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	515.2686815180
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	34.1236143178
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	568.6280795523
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	480.2080630771
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	84.9018540011
PWY-1042: glycolysis IV	556.4399238620
PWY-1042: glycolysis IV|g__Escherichia.s__Escherichia_coli	499.5040619169
PWY-1042: glycolysis IV|unclassified	47.6979114867
CALVIN-PWY: Calvin-Benson-Bassham cycle	531.8819225972
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Escherichia.s__Escherichia_coli	511.1309579309
PWY-5695: inosine 5'-phosphate degradation	524.3343595843
PWY-5695: inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_coli	440.4434237011
PWY-5695: inosine 5'-phosphate degradation|unclassified	80.7085937043
PWY-6608: guanosine nucleotides degradation III	524.3343595843
PWY-6608: guanosine nucleotides degradation III|g__Escherichia.s__Escherichia_coli	440.4434237011
PWY-6608: guanosine nucleotides degradation III|unclassified	80.7085937043
ORNDEG-PWY: superpathway of ornithine degradation	510.5095648817
ORNDEG-PWY: superpathway of ornithine degradation|g__Escherichia.s__Escherichia_coli	444.7265489964
ORNDEG-PWY: superpathway of ornithine degradation|unclassified	64.6337790798
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	504.4861128759
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Escherichia.s__Escherichia_coli	441.6331945978
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified	36.6483456803
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Cutibacterium.s__Cutibacterium_acnes	14.7167476547
PWY-5913: partial TCA cycle (obligate autotrophs)	488.2408215490
PWY-5913: partial TCA cycle (obligate autotrophs)|g__Escherichia.s__Escherichia_coli	396.5323272066
PWY-5913: partial TCA cycle (obligate autotrophs)|unclassified	91.6349765158
PWY0-1261: anhydromuropeptides recycling I	484.7644762917
PWY0-1261: anhydromuropeptides recycling I|g__Escherichia.s__Escherichia_coli	395.1374478047
PWY0-1261: anhydromuropeptides recycling I|unclassified	16.9706456285
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	470.7268830986
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Escherichia.s__Escherichia_coli	394.8766773909
PWY-6936: seleno-amino acid biosynthesis (plants)	466.7769602745
PWY-6936: seleno-amino acid biosynthesis (plants)|g__Escherichia.s__Escherichia_coli	365.0308328548
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	463.8243217377
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	308.0703027514
PWY-5103: L-isoleucine biosynthesis III	460.8033073100
PWY-5103: L-isoleucine biosynthesis III|g__Escherichia.s__Escherichia_coli	279.8031283476
PWY-7663: gondoate biosynthesis (anaerobic)	449.2469004647
PWY-7663: gondoate biosynthesis (anaerobic)|g__Escherichia.s__Escherichia_coli	430.9150307509
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	442.9426230537
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	399.6634834421
PWY-4041: &gamma;-glutamyl cycle	442.4479022221
PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_coli	388.0583166634
PWY-4041: &gamma;-glutamyl cycle|unclassified	54.3779172847
RHAMCAT-PWY: L-rhamnose degradation I	435.6059003727
RHAMCAT-PWY: L-rhamnose degradation I|g__Escherichia.s__Escherichia_coli	348.0356337725
RHAMCAT-PWY: L-rhamnose degradation I|unclassified	61.6098347453
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	434.4036083585
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)|g__Escherichia.s__Escherichia_coli	355.0587050327
PWY-5484: glycolysis II (from fructose 6-phosphate)	433.1621395814
PWY-5484: glycolysis II (from fructose 6-phosphate)|g__Escherichia.s__Escherichia_coli	345.2119663451
PWY-5723: Rubisco shunt	432.9918930926
PWY-5723: Rubisco shunt|g__Escherichia.s__Escherichia_coli	371.3859605385
PWY-6737: starch degradation V	431.6929084729
PWY-6737: starch degradation V|g__Escherichia.s__Escherichia_coli	337.5473932795
PWY-6737: starch degradation V|unclassified	62.9686947936
PWY-6305: superpathway of putrescine biosynthesis	429.3610711732
PWY-6305: superpathway of putrescine biosynthesis|g__Escherichia.s__Escherichia_coli	386.2154408908
PWY-5667: CDP-diacylglycerol biosynthesis I	425.2622734126
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Escherichia.s__Escherichia_coli	309.1235434751
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	102.8401424761
PWY0-1319: CDP-diacylglycerol biosynthesis II	425.2622734126
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Escherichia.s__Escherichia_coli	309.1235434751
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	102.8401424761
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	422.4666562986
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Escherichia.s__Escherichia_coli	312.9135038043
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|unclassified	78.7463461225
PWY-6353: purine nucleotides degradation II (aerobic)	422.0794411699
PWY-6353: purine nucleotides degradation II (aerobic)|g__Escherichia.s__Escherichia_coli	359.4304121581
PWY-6353: purine nucleotides degradation II (aerobic)|unclassified	57.4214967326
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	420.3062081331
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass|g__Escherichia.s__Escherichia_coli	365.9042410659
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	416.1194231911
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type|g__Escherichia.s__Escherichia_coli	341.6796431553
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type|unclassified	70.3631027423
PWY-3001: superpathway of L-isoleucine biosynthesis I	414.7673693560
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Escherichia.s__Escherichia_coli	324.6409177682
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	414.2761138320
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|g__Escherichia.s__Escherichia_coli	384.3546354198
PENTOSE-P-PWY: pentose phosphate pathway	412.2351443691
PENTOSE-P-PWY: pentose phosphate pathway|g__Escherichia.s__Escherichia_coli	332.6162842822
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	43.4934920286
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	405.8557363381
