# Pathway	COAD_noFFPEOnlyPrimaryNoRiboZeroG_right_72random_7_Abundance
UNMAPPED	5160819.2336183013
UNINTEGRATED	1104747.8134533854
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	741209.5775580478
UNINTEGRATED|unclassified	214269.7469807757
UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes	43789.1481525569
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1611.9591258547
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	1337.7529415063
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	260.9049914321
PWY-7111: pyruvate fermentation to isobutanol (engineered)	999.8313634745
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	955.1524608976
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	94.7318334379
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	897.8290165863
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	836.3836612898
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	92.8375703256
VALSYN-PWY: L-valine biosynthesis	897.8290165863
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	836.3836612898
VALSYN-PWY: L-valine biosynthesis|unclassified	92.8375703256
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	875.7112754778
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	819.7232282102
PWY-5695: inosine 5'-phosphate degradation	797.7392309959
PWY-5695: inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_coli	747.6535518899
PWY-5695: inosine 5'-phosphate degradation|unclassified	79.7897258983
PWY-6608: guanosine nucleotides degradation III	797.7392309959
PWY-6608: guanosine nucleotides degradation III|g__Escherichia.s__Escherichia_coli	747.6535518899
PWY-6608: guanosine nucleotides degradation III|unclassified	33.8831435818
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	779.2192951505
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	688.7474772039
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	55.5160076156
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	767.3492211659
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_coli	731.3756951897
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	35.7956837552
ORNDEG-PWY: superpathway of ornithine degradation	762.7150312244
