phylum	genus	genus_tax_id
Proteobacteria	Limnobacter	131079
Proteobacteria	Azorhizobium	6
Proteobacteria	Cellvibrio	10
Deinococcus-Thermus	Meiothermus	65551
Proteobacteria	Methylophilus	16
Proteobacteria	Phenylobacterium	20
Proteobacteria	Shewanella	22
Proteobacteria	Cystobacter	42
Proteobacteria	Chondromyces	50
Proteobacteria	Lysobacter	68
Proteobacteria	Caulobacter	75
Proteobacteria	Leptothrix	88
Proteobacteria	Gallionella	96
Proteobacteria	Ancylobacter	99
Proteobacteria	Pseudoruegeria	311411
Proteobacteria	Nitratireductor	245876
Bacteroidetes	Psychroserpens	49277
Bacteroidetes	Gelidibacter	49279
Proteobacteria	Methylocystis	133
Proteobacteria	Aquaspirillum	187
Epsilonbacteraeota	Campylobacter	194
Epsilonbacteraeota	Helicobacter	209
Proteobacteria	Achromobacter	222
Bacteroidetes	Flavobacterium	237
Firmicutes	Sellimonas	1769710
Firmicutes	Phascolarctobacterium	33024
Proteobacteria	Paracoccus	265
Deinococcus-Thermus	Thermus	270
Firmicutes	Coprococcus	33042
Proteobacteria	Xanthobacter	279
Proteobacteria	Comamonas	283
Proteobacteria	Pseudomonas	286
Proteobacteria	Kinetoplastibacterium	33055
Proteobacteria	Thauera	33057
Proteobacteria	Xanthomonas	338
Proteobacteria	Azotobacter	352
Proteobacteria	Agrobacterium	357
Proteobacteria	Bradyrhizobium	374
Proteobacteria	Rhizobium	379
Proteobacteria	Methylobacillus	404
Proteobacteria	Methylobacterium	407
Proteobacteria	Methylococcus	413
Proteobacteria	Methylosinus	425
Proteobacteria	Methylobacter	429
Proteobacteria	Acetobacter	434
Proteobacteria	Gluconobacter	441
Proteobacteria	Legionella	445
Proteobacteria	Tatlockia	465
Proteobacteria	Acinetobacter	469
Firmicutes	Thermincola	278993
Proteobacteria	Moraxella	475
Proteobacteria	Vulgatibacter	1524214
Proteobacteria	Neisseria	482
Proteobacteria	Alcaligenes	507
Proteobacteria	Bordetella	517
Proteobacteria	Acidiphilium	522
Proteobacteria	Pseudohongiella	1524249
Proteobacteria	Ochrobactrum	528
Proteobacteria	Beijerinckia	532
Proteobacteria	Citrobacter	544
Proteobacteria	Enterobacter	547
Proteobacteria	Erwinia	551
Actinobacteria	Neomicrococcus	1868332
Proteobacteria	Escherichia	561
Bacteroidetes	Xanthomarina	1868329
Proteobacteria	Klebsiella	570
Proteobacteria	Kluyvera	579
Proteobacteria	Morganella	581
Proteobacteria	Proteus	583
Proteobacteria	Providencia	586
Proteobacteria	Salmonella	590
Proteobacteria	Serratia	613
Proteobacteria	Shigella	620
Proteobacteria	Xenorhabdus	626
Proteobacteria	Yersinia	629
Proteobacteria	Edwardsiella	635
Proteobacteria	Arsenophonus	637
Proteobacteria	Aeromonas	642
Firmicutes	Holdemanella	1573535
Proteobacteria	Photobacterium	657
Proteobacteria	Vibrio	662
Fusobacteria	Psychrilyobacter	623282
Proteobacteria	Plesiomonas	702
Proteobacteria	Actinobacillus	713
Proteobacteria	Haemophilus	724
Proteobacteria	Altererythrobacter	361177
Synergistetes	Acetomicrobium	49894
Proteobacteria	Pasteurella	745
Proteobacteria	Azohydromonas	312063
Proteobacteria	Rickettsia	780
Bacteroidetes	Bacteroides	816
Firmicutes	Butyrivibrio	830
Bacteroidetes	Porphyromonas	836
Bacteroidetes	Prevotella	838
Firmicutes	Roseburia	841
Fusobacteria	Fusobacterium	848
Firmicutes	Parasporobacterium	115543
Proteobacteria	Desulfovibrio	872
Proteobacteria	Desulfobulbus	893
Firmicutes	Acidaminococcus	904
Firmicutes	Megasphaera	906
Proteobacteria	Nitrobacter	911
Bacteroidetes	Mariniphaga	1573806
Proteobacteria	Herbaspirillum	963
Firmicutes	Selenomonas	970
Proteobacteria	Croceicoccus	1295327
Bacteroidetes	Saprospira	1007
Bacteroidetes	Weeksella	1013
Proteobacteria	Afipia	1033
Firmicutes	Oscillibacter	459786
Proteobacteria	Erythrobacter	1041
Proteobacteria	Buttiauxella	82976
Proteobacteria	Obesumbacterium	82982
Proteobacteria	Pragia	82984
Proteobacteria	Tatumella	82986
Proteobacteria	Rhodopseudomonas	1073
Proteobacteria	Rhodospirillum	1081
Proteobacteria	Noviherbaspirillum	1344552
Proteobacteria	Grimontia	246861
Actinobacteria	Agromyces	33877
Proteobacteria	Porphyrobacter	1111
Actinobacteria	Microbacterium	33882
Actinobacteria	Rathayibacter	33886
Actinobacteria	Patulibacter	361607
Tenericutes	Candidatus_Phytoplasma	33926
Actinobacteria	Tetrasphaera	99479
Firmicutes	Caryophanon	33976
Actinobacteria	Kineococcus	33981
Firmicutes	Exiguobacterium	33986
Proteobacteria	Rhodovulum	34008
Firmicutes	Leuconostoc	1243
Firmicutes	Pediococcus	1253
Firmicutes	Peptostreptococcus	1257
Firmicutes	Ruminococcus	1263
Actinobacteria	Micrococcus	1269
Proteobacteria	Rahnella	34037
Firmicutes	Staphylococcus	1279
Firmicutes	Stomatobaculum	1213720
Deinococcus-Thermus	Deinococcus	1298
Firmicutes	Streptococcus	1301
Proteobacteria	Variovorax	34072
Bacteroidetes	Riemerella	34084
Firmicutes	Ruminiclostridium	1508657
Proteobacteria	Sulfuricella	935200
Proteobacteria	Sphaerotilus	34102
Firmicutes	Enterococcus	1350
Firmicutes	Lactococcus	1357
Firmicutes	Planococcus	1372
Proteobacteria	Lonsdalea	1082702
Firmicutes	Gemella	1378
Firmicutes	Bacillus	1386
Proteobacteria	Bibersteinia	476528
Firmicutes	Clostridium	1485
Firmicutes	Pseudoflavonifractor	1017280
Proteobacteria	Acidocella	50709
Firmicutes	Desulfotomaculum	1562
Firmicutes	Sporosarcina	1569
Actinobacteria	Clavibacter	1573
Firmicutes	Lactobacillus	1578
Firmicutes	Alkalibacterium	99906
Firmicutes	Lachnoanaerobaculum	1164882
Firmicutes	Listeria	1637
Firmicutes	Erysipelothrix	1647
Firmicutes	Kurthia	1649
Actinobacteria	Actinomyces	1654
Actinobacteria	Arthrobacter	1663
Actinobacteria	Bifidobacterium	1678
Bacteroidetes	Psychroflexus	83612
Proteobacteria	Luteimonas	83614
Actinobacteria	Brevibacterium	1696
Proteobacteria	Pseudoxanthomonas	83618
Actinobacteria	Cellulomonas	1707
Actinobacteria	Corynebacterium	1716
Proteobacteria	Caldimicrobium	444090
Firmicutes	Eubacterium	1730
Proteobacteria	Leclercia	83654
Proteobacteria	Thermodesulfobacterium	1740
Actinobacteria	Propionibacterium	1743
