tax_id	taxon_name
131079	Limnobacter
6	Azorhizobium
10	Cellvibrio
65551	Meiothermus
16	Methylophilus
20	Phenylobacterium
22	Shewanella
42	Cystobacter
50	Chondromyces
68	Lysobacter
75	Caulobacter
88	Leptothrix
96	Gallionella
99	Ancylobacter
311411	Pseudoruegeria
245876	Nitratireductor
49277	Psychroserpens
49279	Gelidibacter
133	Methylocystis
187	Aquaspirillum
194	Campylobacter
209	Helicobacter
222	Achromobacter
237	Flavobacterium
1769710	Sellimonas
33024	Phascolarctobacterium
265	Paracoccus
270	Thermus
33042	Coprococcus
279	Xanthobacter
283	Comamonas
286	Pseudomonas
33055	Kinetoplastibacterium
33057	Thauera
338	Xanthomonas
352	Azotobacter
357	Agrobacterium
374	Bradyrhizobium
379	Rhizobium
404	Methylobacillus
407	Methylobacterium
413	Methylococcus
425	Methylosinus
429	Methylobacter
434	Acetobacter
441	Gluconobacter
445	Legionella
465	Tatlockia
469	Acinetobacter
278993	Thermincola
475	Moraxella
1524214	Vulgatibacter
482	Neisseria
507	Alcaligenes
517	Bordetella
522	Acidiphilium
1524249	Pseudohongiella
528	Ochrobactrum
532	Beijerinckia
544	Citrobacter
547	Enterobacter
551	Erwinia
1868332	Neomicrococcus
561	Escherichia
1868329	Xanthomarina
570	Klebsiella
579	Kluyvera
581	Morganella
583	Proteus
586	Providencia
590	Salmonella
613	Serratia
620	Shigella
626	Xenorhabdus
629	Yersinia
635	Edwardsiella
637	Arsenophonus
642	Aeromonas
1573535	Holdemanella
657	Photobacterium
662	Vibrio
623282	Psychrilyobacter
702	Plesiomonas
713	Actinobacillus
724	Haemophilus
361177	Altererythrobacter
49894	Acetomicrobium
745	Pasteurella
312063	Azohydromonas
780	Rickettsia
816	Bacteroides
830	Butyrivibrio
836	Porphyromonas
838	Prevotella
841	Roseburia
848	Fusobacterium
115543	Parasporobacterium
872	Desulfovibrio
893	Desulfobulbus
904	Acidaminococcus
906	Megasphaera
911	Nitrobacter
1573806	Mariniphaga
963	Herbaspirillum
970	Selenomonas
1295327	Croceicoccus
1007	Saprospira
1013	Weeksella
1033	Afipia
459786	Oscillibacter
1041	Erythrobacter
82976	Buttiauxella
82982	Obesumbacterium
82984	Pragia
82986	Tatumella
1073	Rhodopseudomonas
1081	Rhodospirillum
1344552	Noviherbaspirillum
246861	Grimontia
33877	Agromyces
1111	Porphyrobacter
33882	Microbacterium
33886	Rathayibacter
361607	Patulibacter
33926	Candidatus_Phytoplasma
99479	Tetrasphaera
33976	Caryophanon
33981	Kineococcus
33986	Exiguobacterium
34008	Rhodovulum
