file_id	library_strategy	project_id	sample_type	is_ffpe	plate_id	hospital	read_length	source_center	date_of_shipment	experimental_protocol_type	platform	experimental_strategy	tumor_sample_weight	percent_gc_content	library_name	instrument_model	design	center_name	volume	quantity	concentration	necrosis_percent	tumor_nuclei_percent
dc5dd9bb-8571-48b7-8535-26eeec64faa9	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1850	St. Joseph's Hospital (AZ)	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	33.3	5	0.15	0	100
7475c0d7-c776-48ae-aba6-b4c38692bf75	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1850	Cedars Sinai	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	50	Solexa	Illumina HiSeq 2000	Illumina sequencing of Homo sapiens via complementary DNA	BI	33.3	5.33	0.16	NA	NA
31c1ec3f-8fb6-41b8-9c89-59ca3ab2d36c	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1849	Henry Ford Hospital	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	33.3	5.99	0.18	NA	NA
23768895-9695-4f95-a075-d7a52ac3545f	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1850	St. Joseph's Hospital (AZ)	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	33.3	4.66	0.14	NA	NA
bb39b827-c4f4-4d13-88cb-01f258d06843	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1849	Henry Ford Hospital	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	48	Solexa	Illumina HiSeq 2000	Illumina sequencing of Homo sapiens via complementary DNA	BI	33.3	4.66	0.14	NA	NA
7e26b92e-629a-45c1-9c00-f8f0da99c317	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1849	Henry Ford Hospital	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	50	Solexa	Illumina HiSeq 2000	Illumina sequencing of Homo sapiens via complementary DNA	BI	33.3	6.33	0.19	NA	NA
c7c72460-42c0-45dc-900f-7c7e36a5344c	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1850	Cedars Sinai	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	33.3	4.66	0.14	NA	NA
a50ad948-b240-491e-b5c1-bfe82cbb881a	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1849	Emory University	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	47	Solexa	Illumina HiSeq 2000	Illumina sequencing of Homo sapiens via complementary DNA	BI	33.3	5.33	0.16	0	95
eb9a1990-3d15-4d78-a118-2ba30df48ac2	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1849	Henry Ford Hospital	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	33.3	5	0.15	NA	NA
aab06154-3863-4249-8904-a332f5306893	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1850	St. Joseph's Hospital (AZ)	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	49	Solexa	Illumina HiSeq 2000	Illumina sequencing of Homo sapiens via complementary DNA	BI	33.3	5	0.15	NA	NA
6fc11ae4-b198-403a-abd1-f5fe9425fd5f	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1850	St. Joseph's Hospital (AZ)	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	33.3	5.66	0.17	NA	NA
7803b8a5-c425-4057-9609-272c945e71b9	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1849	Henry Ford Hospital	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	33.3	4.33	0.13	NA	NA
14e05589-be0d-4384-8b7d-3c0a95f6e1fb	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1849	Emory University	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	49	Solexa	Illumina HiSeq 2000	Illumina sequencing of Homo sapiens via complementary DNA	BI	33.3	5.66	0.17	NA	NA
04442ff3-c0f9-4c43-a532-3755e032ee5c	RNA-Seq	TCGA-GBM	Recurrent Tumor	NO	2005	Henry Ford Hospital	76	22	2011-10-03	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	51	Solexa	Illumina HiSeq 2000	Illumina sequencing of Homo sapiens via complementary DNA	BI	33.3	5.33	0.16	NA	NA
6a848707-7c8a-4d6d-b135-e4e913a00099	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1849	Emory University	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	33.3	4.66	0.14	10	90
3f5eb20e-af8a-4e6c-ab81-f3bda4deb057	RNA-Seq	TCGA-GBM	Primary Tumor	NO	1850	Christiana Healthcare	76	22	2011-06-27	Allprep RNA Extraction	Illumina	RNA-Seq	unknown	49	Solexa	Illumina HiSeq 2000	Illumina sequencing of Homo sapiens via complementary DNA	BI	33.3	5.66	0.17	5	95
