file_id	library_strategy	project_id	sample_type	is_ffpe	plate_id	hospital	read_length	source_center	date_of_shipment	experimental_protocol_type	normal_control_proximity_to_tumor	platform	experimental_strategy	tumor_sample_weight	ratio_28s_18s	a260_a280_ratio	percent_gc_content0	library_name	instrument_model	design	center_name	volume	quantity	concentration	necrosis_percent	tumor_nuclei_percent
bc0ab3de-7525-4798-a80e-8cd2316f696a	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A34R	Boston Medical Center	48	23	2013-11-25	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	210	1.44	1.86	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	10	60
67574694-fa82-4ec0-84ac-8f9b85f44060	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2403	University Health Network, Toronto	48	22	2012-09-10	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	87	1.48	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	0	80
e93d0131-4b83-4d22-ac51-5a134022553d	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A39I	Emory University - Winship Cancer Inst.	48	23	2014-04-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	300	1.05	1.88	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	0	70
147ad1a3-b7c5-4cb2-9387-a7f63860e06a	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1915	University Health Network, Toronto	48	22	2011-07-27	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	102	1.68	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	0	80
87443ed1-8218-4992-9f5b-c4b24578777f	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A31N	Emory University - Winship Cancer Inst.	48	23	2013-07-24	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	90	1.57	1.87	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.21	0.17	0	40
2298d477-a3f8-4092-935e-5c746b93ad9d	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1436	UNC	48	22	2010-11-30	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	90	0	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	0	70
77d02a75-3194-42dc-ada9-ca9441d8cf4a	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2132	MD Anderson Cancer Center	48	22	2012-01-11	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.63	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	30	70
382d9c40-6412-497d-8ad7-ef6b2c2423fc	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1873	Johns Hopkins	48	22	2011-07-06	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	100	1.8	1.8	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	30	70
1a4b483b-ddfa-4cda-b8c6-e1994dc5a6e7	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1873	University Of Michigan	48	22	2011-07-06	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	180	1.24	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	1.86	0.14	10	90
e9e351a6-ce74-4150-850b-d546ad9732c2	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A266	UNC	48	23	2013-01-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	220	1.79	1.88	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	NA	NA
a3d51c28-1b15-4742-bbfa-870ae160575b	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A39I	Duke University	48	23	2014-04-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	100	1.5	1.79	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.34	0.18	10	80
d107e0cc-adc9-4c99-8371-c0174b765da3	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A30B	Emory University - Winship Cancer Inst.	48	23	2013-06-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	300	1.68	1.86	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	0	30
dff3796f-b860-4470-a565-25c2a7baa5fb	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A34R	University of Miami	48	23	2013-11-25	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.74	1.89	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	1.95	0.15	0	80
53834229-c648-4349-9471-0aac58bc9ced	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2081	University Health Network, Toronto	48	22	2011-12-14	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	108	1.87	1.7	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	0	80
e083b7c7-4753-4014-8405-37c507c0cddc	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2016	Vanderbilt University	48	22	2011-10-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	50	1.67	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	20	80
ceffb964-a923-4426-98f8-6bfd9256be83	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A31N	UNC	48	23	2013-07-24	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	324	1.57	1.96	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	0	30
e97cbbca-3c43-4396-8d4c-44925649db15	RNA-Seq	TCGA-HNSC	Solid Tissue Normal	NO	A466	ABS - IUPUI	48	23	2014-12-09	mirVana (Allprep DNA) RNA	Distal (>2cm)	Illumina	RNA-Seq	NA	1.28	1.9	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	6.6	1.06	0.16	NA	NA
