file_id	library_strategy	project_id	sample_type	is_ffpe	plate_id	read_length	read_num_selection
S23139_56T_S1	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23140_57P_S2	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23141_57D_S3	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23142_58T_S4	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23143_59P_S5	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23144_59D_S6	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23145_64T_S7	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23146_65P_S8	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23147_65D_S9	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23148_77T_S10	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23149_78P_S11	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23150_78D_S12	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23155_68D_S13	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23160_71T_S18	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23161_81T_S19	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23162_82P_S20	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23163_83T_S21	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23164_85T_S22	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23165_91T_S23	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23166_92D_S24	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23167_84D_S25	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23169_73T_S27	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	TRUE
S23170_82D_S28	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23171_86P_S29	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23172_72P_S30	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23173_68P_S31	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23174_74P_S32	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23175_74D_S33	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23176_92P_S34	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	TRUE
S23177_72D_S35	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23178_86D_S36	Truseq_stranded_totalRNA	MITICO	DISTAL	NO	A1	52	TRUE
S23180_84P_S38	Truseq_stranded_totalRNA	MITICO	PROX	NO	A1	52	FALSE
S23181_67T_S39	Truseq_stranded_totalRNA	MITICO	TUM	NO	A1	52	FALSE
S30628_NSC-02_19-C-00154-01_TUM_S8	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A2	52	TRUE
S30629_NSC-02_19-C-00155-01_PROX_S9	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A2	52	TRUE
S30630_NSC-02_19-C-00156-01_DISTAL_S10	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A2	52	TRUE
S30631_NSC-03_19-C-00146-01_TUM_S11	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A2	52	TRUE
S30632_NSC-03_19-C-00147-01_PROX_S12	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A2	52	TRUE
S30633_NSC-03_19-C-00148-01_DISTAL_S13	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A2	52	TRUE
S30634_NSC-10_19-C-00140-01_TUM_S14	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A2	52	TRUE
S30635_NSC-10_19-C-00141-01_PROX_S15	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A2	52	TRUE
S30636_NSC-10_19-C-00142-01_DISTAL_S16	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A2	52	TRUE
S30637_NSC-14_19-C-00122-01_TUM_S17	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A2	52	TRUE
S30638_NSC-14_19-C-00123-01_PROX_S18	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A2	52	TRUE
