file_id	library_strategy	project_id	sample_type	is_ffpe	plate_id	hospital	read_length	source_center	date_of_shipment	experimental_protocol_type	normal_control_proximity_to_tumor	platform	experimental_strategy	library_name	instrument_model	design	center_name	tumor_sample_weight	ratio_28s_18s	a260_a280_ratio	percent_gc_content	volume	quantity	concentration	necrosis_percent	tumor_nuclei_percent
0b401bda-9984-404c-99a6-6acca9eb945c	RNA-Seq	TCGA-READ	Primary Tumor	NO	0821	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.6	1.8	51	26.7	4.01	0.15	20	70
8b49841c-8199-425f-baa7-0a499615a1e1	RNA-Seq	TCGA-READ	Primary Tumor	NO	1928	Asterand	48	22	2011-08-03	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	590	1.68	1.8	51	13.3	2	0.15	1	78
bf710356-75d2-404f-b84f-60adbb2969e3	RNA-Seq	TCGA-READ	Primary Tumor	NO	A002	Indivumed	76	23	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	2.4	1.74	51	26.7	4.01	0.15	20	70
d309d103-5eb1-44b5-aa03-ec387033d0a4	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	University of Pittsburgh	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	NA	1.56	1.7	49	13.3	2	0.15	NA	NA
0ce8638a-27b3-4d1c-bf15-7278dcff4c2b	RNA-Seq	TCGA-READ	Primary Tumor	NO	0826	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.1	1.8	52	26.7	4.27	0.16	20	70
c15e4f0e-90d3-4e2d-833d-4ec71a6ca959	RNA-Seq	TCGA-READ	Primary Tumor	NO	1660	Harvard	48	22	2011-04-06	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	200	1.4	1.8	49	26.7	4.27	0.16	0	75
f69b6091-150c-47e7-a606-c7d4e92eed57	RNA-Seq	TCGA-READ	Solid Tissue Normal	NO	A32Z	Christiana Healthcare	48	23	2013-10-02	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	NA	1.2	1.8	51	13	1.82	0.14	NA	NA
37df2668-6e55-4e7e-91fe-fa6fa34f82a7	RNA-Seq	TCGA-READ	Primary Tumor	NO	1660	MSKCC	48	22	2011-04-06	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	1.46	1.8	48	26.7	3.74	0.14	20	70
74a4b5a9-6c17-4d70-92a7-9cc59754864a	RNA-Seq	TCGA-READ	Primary Tumor	NO	0821	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.4	1.8	50	26.7	4.54	0.17	20	70
48a04271-824c-4689-8a41-4aeeb4c6da04	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	Asterand	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	1103	1.67	1.8	49	13.3	2	0.15	5	70
257c0742-94fb-41db-b50e-4d17234dfb95	RNA-Seq	TCGA-READ	Primary Tumor	NO	0821	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.3	1.8	53	26.7	4.54	0.17	20	70
879612ea-690f-4bc6-97e5-01046a2b46e6	RNA-Seq	TCGA-READ	Primary Tumor	NO	A155	University Of Michigan	48	23	2011-05-10	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	184	1.2	1.87	49	26.7	4.27	0.16	5	70
f654eb85-e9aa-4e9a-8b17-2f5cfd45e063	RNA-Seq	TCGA-READ	Primary Tumor	NO	A32Z	MSKCC	48	23	2013-10-02	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	1.48	1.8	51	13	1.95	0.15	5	70
cc60c38f-d789-44a5-ae2f-f90f9a438634	RNA-Seq	TCGA-READ	Primary Tumor	NO	1928	Greater Poland Cancer Center	48	22	2011-08-03	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	240	1.57	1.7	51	13.3	2	0.15	30	70
5dbe3e1e-179e-41cd-8e85-ab7336cc0b19	RNA-Seq	TCGA-READ	Primary Tumor	NO	0826	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.2	1.8	52	26.7	4.01	0.15	20	70
57eb4718-3ccd-47b5-b4d2-ba37595e946a	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Greater Poland Cancer Center	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	465	1.66	1.7	49	26.7	4.01	0.15	5	95
fd97e496-2071-4a24-9267-aac611222d12	RNA-Seq	TCGA-READ	Primary Tumor	NO	0821	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.5	1.8	50	26.7	4.01	0.15	20	70
74b0ab15-eae8-4113-bb3e-6e77d8777122	RNA-Seq	TCGA-READ	Primary Tumor	NO	1660	MSKCC	48	22	2011-04-06	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	1.5	1.8	48	26.7	3.74	0.14	10	70
0b2e5ffc-3a7f-4178-b0c7-c63c55ca91c4	RNA-Seq	TCGA-READ	Primary Tumor	NO	1119	Indivumed	76	22	2010-07-14	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.3	1.8	51	26.7	4.01	0.15	20	70
65644170-e9da-4222-a569-813501b75432	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	MSKCC	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	1.48	1.8	47	13.3	2.13	0.16	0	70
8b2029c0-2961-4c7f-bf1b-bd76727f98af	RNA-Seq	TCGA-READ	Primary Tumor	NO	1119	Indivumed	76	22	2010-07-14	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.6	1.8	52	26.7	4.01	0.15	20	70
2c9301be-9633-413f-97e4-17c11c9cd45d	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	Christiana Healthcare	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	386	1.45	1.8	49	13.3	1.86	0.14	5	70
5ea30390-88f8-4abf-8f44-f0648436a0df	RNA-Seq	TCGA-READ	Primary Tumor	NO	1928	Greater Poland Cancer Center	48	22	2011-08-03	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	337	1.7	1.7	50	13.3	1.86	0.14	5	90
6ec3d218-83b5-4679-8d9d-41a86315b7df	RNA-Seq	TCGA-READ	Primary Tumor	NO	A00A	Indivumed	76	23	2010-03-08	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	2.1	1.7	52	26.7	4.01	0.15	20	70
7b229401-3225-4339-b620-2e44a3639414	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Greater Poland Cancer Center	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	242	1.54	1.8	49	26.7	3.74	0.14	10	95
f9456f03-9967-40da-a1df-9f5c60eeffd7	RNA-Seq	TCGA-READ	Primary Tumor	NO	0905	Indivumed	76	22	2010-04-14	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1	1.9	57	26.7	4.27	0.16	20	70
93be2945-a8ed-48c6-8835-0d4c2f007334	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Indivumed	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	100	1.4	1.8	49	26.7	4.01	0.15	20	70
edd2527b-92b0-4c30-8458-d9c568f48c1b	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	University of Pittsburgh	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	390	1.86	1.7	49	13.3	2	0.15	0	60
54a61d82-2052-4651-8b17-e035fd09bc4c	RNA-Seq	TCGA-READ	Primary Tumor	NO	1928	Asterand	48	22	2011-08-03	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	1478	1.61	1.7	50	13.3	2	0.15	20	70
2c9b6da6-3168-4429-9abf-ed953f4e2b53	RNA-Seq	TCGA-READ	Primary Tumor	NO	A002	Indivumed	76	23	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	2.1	1.69	53	26.7	4.01	0.15	20	70
a00bb3a9-e2f2-42a7-849f-483d782319e7	RNA-Seq	TCGA-READ	Primary Tumor	NO	1660	MSKCC	48	22	2011-04-06	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	1.5	1.8	48	26.7	3.74	0.14	2	80
017dd171-3e6d-452e-bccd-b8e55e87b7f1	RNA-Seq	TCGA-READ	Primary Tumor	NO	0821	Christiana Healthcare	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	1647	1.4	1.8	51	26.7	3.74	0.14	5	95
41afaaab-abf6-4557-a206-bfe212f81557	RNA-Seq	TCGA-READ	Primary Tumor	NO	A00A	Indivumed	76	23	2010-03-08	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.7	1.69	53	26.7	4.01	0.15	20	70
d24b70c1-7159-4c54-9a44-52fc0ea0a364	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Indivumed	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	100	1.9	1.8	49	26.7	4.01	0.15	20	70
85ba5f54-8931-4c50-b58b-49846dd77113	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	unknown	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	1382	1.32	1.8	49	13.3	2	0.15	3	70
7f8fad9c-f810-4e5d-9fe5-3169c04c877e	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Christiana Healthcare	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	1200	1.9	1.8	51	26.7	3.74	0.14	5	80
a4fd5efb-5558-473d-bcd7-35924ac303ee	RNA-Seq	TCGA-READ	Primary Tumor	NO	1660	Cureline	48	22	2011-04-06	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	280	1.76	1.8	48	26.7	4.01	0.15	25	75
4fcd18dd-13c5-4809-85c3-803fb1fe6a74	RNA-Seq	TCGA-READ	Primary Tumor	NO	1928	Greater Poland Cancer Center	48	22	2011-08-03	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	460	1.65	1.8	50	13.3	2	0.15	15	80
95ffede8-754c-4976-950b-80aa20246b2c	RNA-Seq	TCGA-READ	Primary Tumor	NO	A002	Indivumed	76	23	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	2.2	1.74	53	26.7	4.01	0.15	20	70
da3b4416-7085-46b7-b4d4-3975e26b5642	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Greater Poland Cancer Center	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	348	1.47	1.8	51	26.7	4.27	0.16	5	90
aa809451-5906-41f5-bb0d-0466ed72b0b4	RNA-Seq	TCGA-READ	Primary Tumor	NO	1928	Asterand	48	22	2011-08-03	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	383	1.87	1.7	50	13.3	2.13	0.16	3	87
6adf4dcf-f013-43a4-b726-dbb03f7f49f0	RNA-Seq	TCGA-READ	Primary Tumor	NO	1928	Asterand	48	22	2011-08-03	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	760	1.19	1.7	50	13.3	2.13	0.16	2	88
c50034fe-06ec-4192-9be2-b156a549d90a	RNA-Seq	TCGA-READ	Primary Tumor	NO	A00A	Indivumed	76	23	2010-03-08	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	2	1.67	51	26.7	4.01	0.15	20	70
