file_id	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
58bc1f92-80bf-4b09-b489-984cd0144548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3f26333a-9c85-4f55-8a3e-6f78d91cc553	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
4de88051-0d80-419d-ae7d-89dcce5f6baa	0	0	0	0	unknown	unknown	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
d2a3396b-b2f3-47fd-b32d-34341d2e5f9d	-1	-1	unknown	-1	-1	0	0	unknown	-1	-1	0	0	1	-1	-1	unknown	0	0	unknown	1	0	-1
2341bc87-50c7-4fcf-a721-abc8744aaf1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
488b0103-138b-4004-8b3e-0b225c6949e7	0	0	unknown	0	0	0	0	unknown	0	unknown	unknown	0	1	0	-1	0	unknown	-1	0	unknown	0	unknown
f61b9cd4-288e-4ab9-8ce9-61691cebbf47	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
a36dda91-00aa-4779-bf35-fc0a69a90c21	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
ad1cc824-7bbc-4883-96da-55e51d1b6f0d	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	0
739f4d3b-d73e-4cd7-862e-1f843c0f73c3	unknown	-1	unknown	0	-1	unknown	unknown	unknown	unknown	unknown	0	unknown	0	unknown	-1	1	unknown	-1	0	1	0	0
c3c419d6-c94c-49d5-a9d1-bba4a508beb5	unknown	0	0	0	1	1	1	unknown	-1	0	-1	0	1	-1	0	1	unknown	-1	0	unknown	0	-1
69ea4b44-0ae7-4261-98a7-e33754bef916	-1	0	0	-1	-1	0	0	unknown	-1	0	0	0	1	0	0	0	-1	-1	unknown	unknown	0	-1
1ba88783-3486-4ecc-98a5-1a99eaccd77c	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
b12289f8-8259-428c-ae3e-39190e67a8d1	-1	-1	0	-1	unknown	0	unknown	unknown	unknown	-1	0	0	1	-1	-1	1	unknown	-1	0	1	-1	-1
061b61c4-5f4b-4c1c-95a4-0c757e04f506	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	unknown	0	0	unknown	0
fda49a14-df20-4ff9-b355-d0baf50a260a	0	0	unknown	0	0	0	1	unknown	0	0	0	0	1	-1	0	1	unknown	-1	0	unknown	0	0
d797d295-bd32-4463-9633-9d6be8690328	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
babb54ab-021f-4265-bb2b-2b81b3db4421	unknown	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	unknown	1	0	0
100cd7f5-9a5a-40c0-b116-00c683d3a1ed	unknown	0	unknown	-1	1	0	unknown	unknown	0	-1	0	-1	1	-1	-1	1	unknown	-1	-1	1	-1	-1
523a2efe-a335-49ac-be50-45bdb2dc38f5	0	0	0	0	0	0	0	0	0	unknown	0	1	0	0	0	0	0	0	0	1	0	0
80ff8844-3c90-4c66-b6d9-a72ea86219ed	unknown	0	0	unknown	-1	-1	unknown	unknown	0	unknown	unknown	-1	1	-1	unknown	unknown	-1	-1	0	1	-1	-1
90832632-cf57-463b-9d08-c76975066f56	0	0	0	0	0	0	0	unknown	0	0	0	0	0	0	-1	unknown	unknown	-1	0	1	0	0
4c02520f-4d63-4903-9606-2537019dc1d7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191d5b7b-5be5-401d-af1f-4bc858e92dbb	0	0	unknown	0	0	0	0	0	0	0	0	0	0	-1	0	0	unknown	-1	0	unknown	0	0
c5849645-9fb4-472f-b5d0-98dfbe740b9c	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	-1	0
c73f13d8-98ce-4447-b735-2ea883e617a2	0	0	0	0	0	0	1	unknown	0	0	0	0	1	-1	-1	0	unknown	-1	0	1	0	0
f08dc7f4-3cc3-4743-a84e-d586d74af8d1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
f4a2081d-efeb-4bb1-9642-528243bd95bc	unknown	unknown	0	0	0	unknown	unknown	unknown	0	0	1	0	1	0	unknown	unknown	unknown	unknown	1	1	1	unknown
29c6bd2a-d4db-40db-9249-bb2b7f24c7bf	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03d5c3cb-f41c-40fd-b1e3-2c95292c59d5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0445b57c-2057-4fd8-aaf6-263793c960c5	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	unknown	-1	0	unknown	0	0
73715275-7798-4bfa-b916-d52642b8d83d	0	0	0	0	0	0	0	0	0	0	0	unknown	0	0	0	0	0	0	0	0	0	0
958a5e6e-92b2-41a7-8ed4-3c464869120c	unknown	0	unknown	-1	0	1	0	unknown	0	0	0	0	1	unknown	0	0	unknown	0	0	0	0	-1
8714c72b-5800-4ee7-91d2-848742701d15	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
ea4719d5-63a3-49e8-bf2b-69b5a42f8f3e	unknown	unknown	unknown	-1	unknown	unknown	0	unknown	1	0	-1	-1	unknown	unknown	unknown	0	unknown	1	unknown	unknown	-1	-1
4e08a7fa-ec31-4a9b-932c-1dc3dde5e22f	0	0	0	0	0	-1	1	1	0	0	unknown	0	-1	-1	0	0	unknown	-1	0	1	-1	-1
90abad6a-d6cd-47eb-bc0f-c5fb83d9b768	unknown	1	0	0	0	unknown	unknown	unknown	0	unknown	0	unknown	unknown	0	0	unknown	0	unknown	1	1	unknown	0
6f35b897-af4a-4970-9865-bb55b51cfaac	0	1	0	-1	0	-1	0	0	0	0	-1	0	0	-1	0	0	-1	-1	-1	1	-1	-1
cbbd47c7-cc50-479d-a1a9-7199f0bdb9eb	0	0	0	-1	unknown	-1	unknown	unknown	0	0	0	0	0	-1	0	unknown	unknown	0	0	unknown	0	unknown
5043ce43-ed05-4ec8-9264-3d819eecf0b4	-1	unknown	0	-1	unknown	0	unknown	unknown	0	-1	0	unknown	1	0	-1	0	unknown	-1	unknown	1	0	-1
611afd21-d36c-4bcd-8de1-45d63c1d449d	0	0	0	0	0	0	1	0	unknown	0	0	0	1	0	-1	0	unknown	-1	0	1	0	0
c1c36a5e-5410-45ef-8954-70c26ef27066	0	1	0	unknown	1	0	1	1	0	0	0	1	1	0	1	0	unknown	-1	0	1	0	0
aabe673a-9363-45ce-98f6-4fddbb6a6a31	0	0	0	unknown	-1	0	1	unknown	0	0	0	0	0	0	-1	unknown	unknown	-1	unknown	1	-1	-1
0c40e977-de94-4e89-ba1f-2b4dee44058b	unknown	unknown	0	-1	unknown	0	0	0	0	0	0	0	0	0	-1	0	unknown	-1	unknown	0	unknown	-1
a4299481-edf7-4286-892c-d6d4a35e061d	unknown	0	unknown	unknown	0	0	1	1	-1	unknown	-1	unknown	1	unknown	0	1	unknown	-1	unknown	1	-1	0
235f8fb6-d408-4560-92f6-5a6eca723f12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39872d10-2ed3-45ac-8412-2df00cf99439	unknown	0	0	-1	unknown	0	1	unknown	-1	unknown	0	unknown	1	-1	-1	1	unknown	-1	1	1	-1	0
ae59512a-f447-4cad-b15f-9c23b9b2e97c	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
b5924714-357a-483a-b72d-0dfb0af536cc	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
f0aa76b6-11d0-425d-be31-921074003b51	0	0	0	0	0	0	0	unknown	0	0	0	0	0	0	0	0	unknown	-1	0	unknown	0	0
b509051b-8742-434c-83e0-96f4d67ca801	unknown	0	0	0	0	1	1	unknown	1	0	0	0	1	0	unknown	1	-1	-1	0	1	0	-1
c4eab08a-4001-49fa-a818-3484ac8ba56d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2d9c8cc3-d56a-4920-b86c-2389ca913e97	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
c4d62f18-52a9-4753-93c4-547bdbf0abea	unknown	0	-1	-1	0	0	1	-1	-1	0	0	0	1	-1	0	0	unknown	-1	0	unknown	-1	-1
02cbd25b-315c-47c4-bd4d-bfc157d957a2	unknown	0	0	0	0	0	1	-1	0	0	unknown	0	0	0	unknown	unknown	0	-1	0	unknown	-1	0
7b0908c3-8bca-49ff-b157-5de397f8b0bd	unknown	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	unknown	unknown	unknown	unknown	0	0
bf18b4eb-ff17-4632-a0ca-9a1c0f002156	0	1	0	0	unknown	0	1	unknown	0	0	0	0	1	0	0	0	unknown	-1	0	unknown	0	0
a67971a0-8e79-4d59-a001-8c168b4fcf0f	0	0	0	0	unknown	0	0	0	unknown	0	0	0	0	-1	0	0	unknown	-1	1	1	0	0
