gene_id	chr	gene_name	length	type
ENSG00000223972.5	chr1	DDX11L1	1735	transcribed_unprocessed_pseudogene
ENSG00000227232.5	chr1	WASH7P	1351	unprocessed_pseudogene
ENSG00000278267.1	chr1	MIR6859-3	68	miRNA
ENSG00000243485.3	chr1	RP11-34P13.3	1021	lincRNA
ENSG00000274890.1	chr1	MIR1302-9	138	miRNA
ENSG00000237613.2	chr1	FAM138A	1219	lincRNA
ENSG00000268020.3	chr1	OR4G4P	840	unprocessed_pseudogene
ENSG00000240361.1	chr1	OR4G11P	940	unprocessed_pseudogene
ENSG00000186092.4	chr1	OR4F5	918	protein_coding
ENSG00000238009.5	chr1	RP11-34P13.7	3726	lincRNA
ENSG00000239945.1	chr1	RP11-34P13.8	1319	lincRNA
ENSG00000233750.3	chr1	CICP27	3812	processed_pseudogene
ENSG00000268903.1	chr1	RP11-34P13.15	755	processed_pseudogene
ENSG00000269981.1	chr1	RP11-34P13.16	284	processed_pseudogene
ENSG00000239906.1	chr1	RP11-34P13.14	323	antisense
ENSG00000241860.5	chr1	RP11-34P13.13	6195	processed_transcript
ENSG00000222623.1	chr1	RNU6-1100P	104	snRNA
ENSG00000241599.1	chr1	RP11-34P13.9	457	lincRNA
ENSG00000279928.1	chr1	FO538757.3	718	protein_coding
ENSG00000279457.2	chr1	FO538757.2	1982	protein_coding
ENSG00000273874.1	chr1	MIR6859-2	68	miRNA
ENSG00000275135.1	chr1	FO538757.1	138	miRNA
ENSG00000228463.7	chr1	AP006222.2	3954	lincRNA
ENSG00000241670.3	chr1	AP006222.1	457	processed_pseudogene
ENSG00000236679.2	chr1	RP4-669L17.1	385	processed_pseudogene
ENSG00000236743.1	chr1	RP5-857K21.15	676	lincRNA
ENSG00000236601.1	chr1	RP4-669L17.2	635	lincRNA
ENSG00000237094.10	chr1	RP4-669L17.10	4792	lincRNA
ENSG00000269732.1	chr1	WBP1LP7	363	processed_pseudogene
ENSG00000278566.1	chr1	OR4F29	939	protein_coding
ENSG00000224813.2	chr1	RP4-669L17.4	180	transcribed_unprocessed_pseudogene
ENSG00000233653.3	chr1	CICP7	2477	processed_pseudogene
ENSG00000250575.1	chr1	RP4-669L17.8	1239	unprocessed_pseudogene
ENSG00000278757.1	chr1	U6	104	snRNA
ENSG00000231709.1	chr1	RP5-857K21.1	842	lincRNA
ENSG00000235146.2	chr1	RP5-857K21.2	635	lincRNA
ENSG00000239664.2	chr1	RP5-857K21.3	639	lincRNA
ENSG00000230021.6	chr1	RP5-857K21.4	1854	lincRNA
ENSG00000223659.1	chr1	RP5-857K21.5	802	lincRNA
ENSG00000225972.1	chr1	MTND1P23	372	unprocessed_pseudogene
ENSG00000225630.1	chr1	MTND2P28	1044	unprocessed_pseudogene
ENSG00000276171.1	chr1	AC114498.1	63	miRNA
ENSG00000237973.1	chr1	RP5-857K21.6	1543	unprocessed_pseudogene
ENSG00000278791.1	chr1	MIR6723	89	miRNA
ENSG00000229344.1	chr1	RP5-857K21.7	682	unprocessed_pseudogene
ENSG00000240409.1	chr1	MTATP8P1	207	unprocessed_pseudogene
ENSG00000248527.1	chr1	MTATP6P1	681	unprocessed_pseudogene
ENSG00000198744.5	chr1	RP5-857K21.11	547	unprocessed_pseudogene
ENSG00000268663.1	chr1	WBP1LP6	424	processed_pseudogene
ENSG00000273547.1	chr1	OR4F16	939	protein_coding
ENSG00000229376.3	chr1	CICP3	2455	processed_pseudogene
ENSG00000224956.5	chr1	RP11-206L10.1	1236	unprocessed_pseudogene
ENSG00000235373.1	chr1	RP11-206L10.3	4860	lincRNA
ENSG00000223181.1	chr1	RNU6-1199P	104	snRNA
ENSG00000240618.1	chr1	RP11-206L10.5	295	lincRNA
ENSG00000229905.1	chr1	RP11-206L10.4	456	antisense
ENSG00000228327.2	chr1	RP11-206L10.2	1317	lincRNA
ENSG00000237491.7	chr1	RP11-206L10.9	5517	lincRNA
ENSG00000230092.6	chr1	RP11-206L10.8	872	transcribed_unprocessed_pseudogene
ENSG00000177757.2	chr1	FAM87B	1947	lincRNA
ENSG00000228794.7	chr1	LINC01128	9470	processed_transcript
ENSG00000225880.5	chr1	LINC00115	1317	lincRNA
ENSG00000230368.2	chr1	FAM41C	1971	lincRNA
ENSG00000234711.1	chr1	TUBB8P11	1058	unprocessed_pseudogene
ENSG00000272438.1	chr1	RP11-54O7.16	351	lincRNA
ENSG00000230699.2	chr1	RP11-54O7.1	3043	lincRNA
ENSG00000241180.1	chr1	RP11-54O7.2	443	lincRNA
ENSG00000223764.2	chr1	RP11-54O7.3	4152	lincRNA
ENSG00000187634.9	chr1	SAMD11	3214	protein_coding
ENSG00000188976.9	chr1	NOC2L	5539	protein_coding
ENSG00000187961.12	chr1	KLHL17	3395	protein_coding
ENSG00000277294.1	chr1	AL645608.1	57	miRNA
ENSG00000187583.9	chr1	PLEKHN1	2833	protein_coding
ENSG00000187642.8	chr1	PERM1	3424	protein_coding
ENSG00000272512.1	chr1	RP11-54O7.17	2086	lincRNA
ENSG00000188290.9	chr1	HES4	1118	protein_coding
ENSG00000187608.7	chr1	ISG15	942	protein_coding
ENSG00000231702.2	chr1	RP11-54O7.10	154	processed_pseudogene
ENSG00000224969.1	chr1	RP11-54O7.11	471	antisense
ENSG00000188157.12	chr1	AGRN	10758	protein_coding
ENSG00000242590.1	chr1	RP11-54O7.14	402	sense_intronic
ENSG00000217801.8	chr1	RP11-465B22.3	2171	transcribed_unprocessed_pseudogene
ENSG00000273443.1	chr1	RP11-54O7.18	829	lincRNA
ENSG00000237330.2	chr1	RNF223	1902	protein_coding
ENSG00000131591.16	chr1	C1orf159	6322	protein_coding
ENSG00000223823.1	chr1	LINC01342	1620	lincRNA
ENSG00000207730.2	chr1	MIR200B	111	miRNA
ENSG00000207607.2	chr1	MIR200A	111	miRNA
ENSG00000198976.1	chr1	MIR429	83	miRNA
ENSG00000272141.1	chr1	RP11-465B22.8	987	lincRNA
ENSG00000205231.1	chr1	TTLL10-AS1	3532	antisense
ENSG00000162571.12	chr1	TTLL10	3943	protein_coding
ENSG00000186891.12	chr1	TNFRSF18	1370	protein_coding
ENSG00000186827.9	chr1	TNFRSF4	1721	protein_coding
ENSG00000078808.15	chr1	SDF4	4709	protein_coding
ENSG00000176022.4	chr1	B3GALT6	2777	protein_coding
ENSG00000184163.3	chr1	FAM132A	1794	protein_coding
ENSG00000260179.1	chr1	RP5-902P8.12	1558	lincRNA
ENSG00000160087.19	chr1	UBE2J2	4712	protein_coding
ENSG00000230415.1	chr1	RP5-902P8.10	513	lincRNA
ENSG00000162572.18	chr1	SCNN1D	4025	protein_coding
ENSG00000131584.17	chr1	ACAP3	8809	protein_coding
ENSG00000278073.1	chr1	MIR6726	61	miRNA
ENSG00000169972.10	chr1	PUSL1	2489	protein_coding
ENSG00000127054.17	chr1	CPSF3L	8220	protein_coding
ENSG00000274153.1	chr1	MIR6727	65	miRNA
ENSG00000240731.1	chr1	RP5-890O3.9	386	sense_intronic
ENSG00000224051.5	chr1	CPTP	2556	protein_coding
ENSG00000169962.4	chr1	TAS1R3	3433	protein_coding
ENSG00000107404.16	chr1	DVL1	3486	protein_coding
ENSG00000275884.1	chr1	MIR6808	59	miRNA
ENSG00000162576.15	chr1	MXRA8	3622	protein_coding
ENSG00000175756.12	chr1	AURKAIP1	1669	protein_coding
ENSG00000223663.2	chr1	RP5-890O3.3	367	processed_pseudogene
ENSG00000221978.10	chr1	CCNL2	6850	protein_coding
ENSG00000224870.5	chr1	RP4-758J18.2	2525	processed_transcript
ENSG00000242485.4	chr1	MRPL20	2788	protein_coding
ENSG00000264293.2	chr1	RN7SL657P	293	misc_RNA
ENSG00000272455.1	chr1	RP4-758J18.13	1523	lincRNA
ENSG00000235098.7	chr1	ANKRD65	2644	protein_coding
ENSG00000225905.1	chr1	RP4-758J18.7	543	antisense
ENSG00000205116.3	chr1	TMEM88B	492	protein_coding
ENSG00000225285.1	chr1	RP4-758J18.10	851	lincRNA
ENSG00000179403.11	chr1	VWA1	5065	protein_coding
ENSG00000215915.8	chr1	ATAD3C	3976	protein_coding
ENSG00000160072.18	chr1	ATAD3B	7682	protein_coding
ENSG00000197785.12	chr1	ATAD3A	3069	protein_coding
ENSG00000205090.7	chr1	TMEM240	1380	protein_coding
ENSG00000160075.11	chr1	SSU72	6925	protein_coding
ENSG00000215014.4	chr1	RP5-832C2.5	2101	lincRNA
ENSG00000279244.1	chr1	AL645728.1	276	protein_coding
ENSG00000274481.1	chr1	RP11-345P4.11	400	processed_pseudogene
ENSG00000280747.1	chr1	Metazoa_SRP	286	misc_RNA
ENSG00000228594.3	chr1	C1orf233	2085	protein_coding
ENSG00000272106.1	chr1	RP11-345P4.9	2038	antisense
ENSG00000197530.11	chr1	MIB2	8767	protein_coding
ENSG00000189409.11	chr1	MMP23B	2714	protein_coding
ENSG00000248333.6	chr1	CDK11B	3811	protein_coding
ENSG00000272004.1	chr1	RP11-345P4.10	400	antisense
ENSG00000189339.10	chr1	SLC35E2B	8395	protein_coding
ENSG00000269737.1	chr1	RP11-345P4.7	1422	antisense
ENSG00000269227.1	chr1	RP11-345P4.6	502	transcribed_processed_pseudogene
ENSG00000215914.4	chr1	MMP23A	1017	unprocessed_pseudogene
ENSG00000008128.21	chr1	CDK11A	4701	protein_coding
ENSG00000268575.1	chr1	RP1-283E3.8	5079	processed_transcript
ENSG00000227775.3	chr1	RP1-283E3.4	2759	transcribed_processed_pseudogene
ENSG00000215790.5	chr1	SLC35E2	3264	protein_coding
ENSG00000008130.14	chr1	NADK	5570	protein_coding
ENSG00000078369.16	chr1	GNB1	6417	protein_coding
ENSG00000231050.1	chr1	RP1-140A9.1	906	antisense
ENSG00000169885.8	chr1	CALML6	2321	protein_coding
ENSG00000178821.11	chr1	TMEM52	1594	protein_coding
ENSG00000142609.16	chr1	CFAP74	10422	protein_coding
ENSG00000233542.1	chr1	RP11-547D24.1	1954	antisense
ENSG00000187730.7	chr1	GABRD	1928	protein_coding
ENSG00000226969.1	chr1	RP11-547D24.3	538	antisense
ENSG00000067606.14	chr1	PRKCZ	7636	protein_coding
ENSG00000271806.1	chr1	RP5-892K4.1	4196	antisense
ENSG00000182873.5	chr1	RP11-181G12.2	1734	antisense
ENSG00000162585.15	chr1	C1orf86	10916	protein_coding
