file_id	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
bc0ab3de-7525-4798-a80e-8cd2316f696a	0	0	0	0	unknown	-1	0	0	unknown	unknown	unknown	0	-1	0	0	-1	unknown	0	unknown	0	0	0
67574694-fa82-4ec0-84ac-8f9b85f44060	unknown	unknown	unknown	0	-1	0	0	unknown	-1	unknown	0	-1	0	0	0	unknown	unknown	0	-1	0	-1	0
e93d0131-4b83-4d22-ac51-5a134022553d	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	-1	1	-1	0	0	-1	unknown	unknown	-1	0
147ad1a3-b7c5-4cb2-9387-a7f63860e06a	0	unknown	unknown	0	0	0	0	unknown	0	0	0	0	0	0	0	0	0	unknown	0	0	0	0
87443ed1-8218-4992-9f5b-c4b24578777f	0	0	0	unknown	0	0	0	0	0	unknown	unknown	1	0	0	0	unknown	0	0	unknown	0	0	0
2298d477-a3f8-4092-935e-5c746b93ad9d	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
77d02a75-3194-42dc-ada9-ca9441d8cf4a	1	1	unknown	unknown	unknown	1	unknown	unknown	-1	1	0	unknown	-1	0	0	1	unknown	unknown	1	unknown	unknown	1
382d9c40-6412-497d-8ad7-ef6b2c2423fc	unknown	unknown	unknown	unknown	unknown	0	unknown	unknown	0	0	unknown	0	-1	0	0	0	0	0	0	unknown	0	0
1a4b483b-ddfa-4cda-b8c6-e1994dc5a6e7	-1	0	unknown	0	unknown	-1	0	unknown	-1	0	-1	unknown	0	0	-1	unknown	unknown	-1	unknown	1	-1	unknown
e9e351a6-ce74-4150-850b-d546ad9732c2	unknown	1	unknown	unknown	1	unknown	0	unknown	unknown	unknown	0	unknown	1	1	-1	1	1	unknown	unknown	unknown	0	unknown
a3d51c28-1b15-4742-bbfa-870ae160575b	0	0	unknown	0	unknown	0	0	unknown	0	0	0	0	0	unknown	0	0	0	unknown	unknown	0	0	-1
d107e0cc-adc9-4c99-8371-c0174b765da3	0	0	unknown	0	unknown	0	0	unknown	0	0	0	0	0	0	0	0	0	unknown	0	1	0	0
