file_id	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
8e7a6516-cbb0-49f5-956d-4ec95949480a	1	-1	0	unknown	0	unknown	unknown	1	-1	-1	-1	0	-1	-1	0	0	0	0	-1	0	0	0
60d9011d-55ed-407a-a5c3-9384ca8269f8	1	0	unknown	1	0	unknown	unknown	unknown	0	-1	unknown	unknown	0	0	0	unknown	unknown	1	1	1	-1	1
bd3de9da-c413-490e-b0ba-7f92f5d22dbf	unknown	0	0	0	1	unknown	1	1	0	0	0	1	0	0	0	0	1	0	0	unknown	-1	0
993cfa7f-39b1-4b92-8fec-3d3cf952d38a	1	unknown	0	0	0	unknown	1	unknown	unknown	unknown	unknown	0	0	0	unknown	0	unknown	0	0	0	0	0
3dc1110b-d5c5-42ab-8f20-ee1525eca965	0	0	0	0	0	unknown	0	unknown	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
32a6388d-c93b-404b-9f41-2b092f44c9be	unknown	1	0	unknown	0	-1	1	unknown	1	unknown	unknown	1	0	1	1	unknown	1	unknown	1	unknown	1	1
8a1a0fd9-9e1b-4791-96bc-35d8ec562ed3	unknown	0	0	unknown	1	unknown	1	0	0	0	0	0	1	0	0	0	unknown	0	0	0	1	unknown
b7d6cb62-27c7-417a-8428-01336d8245c9	0	0	0	0	0	unknown	1	unknown	0	-1	0	0	0	0	0	0	unknown	0	0	0	0	0
4bf1b85e-fef2-409a-9bd7-124e701c2bb1	unknown	unknown	0	unknown	unknown	unknown	unknown	unknown	unknown	-1	unknown	-1	unknown	unknown	unknown	0	0	unknown	0	unknown	unknown	0
eaf062bc-b317-40c8-860a-3fcf10119526	0	0	unknown	unknown	0	unknown	0	unknown	0	-1	unknown	0	0	0	0	unknown	unknown	0	-1	0	-1	0
aa536380-810a-4c98-a18f-99057a41c301	unknown	0	0	0	-1	unknown	0	0	unknown	-1	0	0	0	0	0	unknown	unknown	0	0	0	0	0
4a66f7d5-2e79-46d4-ad8f-8cf9b977f063	unknown	0	0	0	unknown	unknown	0	unknown	unknown	unknown	-1	0	1	-1	0	unknown	0	0	0	0	0	0
655d8896-0e79-423e-af85-6efcd8bdc71a	1	0	unknown	1	0	1	1	1	unknown	unknown	0	0	1	0	unknown	1	0	0	0	1	0	unknown
7860c271-7996-4c37-a04b-a4ed9104af61	unknown	-1	0	0	0	0	unknown	0	unknown	-1	0	0	0	0	0	unknown	0	0	0	1	0	-1
